green_name,name,request_time,control_id,pattern,cross_id,cycle_len,ring_count,offset,cycle_list,phase_list,over_lap_phase_list,sink_time
舜华南路（旅游路-华茂路）,舜华南路-龙奥北路,2026-04-01 09:31:30,752072,34,13NU10B5UQ0,160,3,65,{"Cycle2":"7 1_4 5_"，"Cycle3":"11 9_10 12_"，"Cycle1":"2 8_3 6_"},[{"minGTime":"14 14 14 14 14 14 14 14 14 14 14 14 3 0 0 0"，"maxGTime":"60 60 60 60 60 60 60 60 60 60 60 60 60 0 0 0"，"greenTime":"31 39 47 47 31 31 39 31 31 37 39 26 0 0 0 0"，"yellowTime":"3 3 3 3 3 3 3 3 3 3 3 3 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0"，"concurrent":"5506 1345 2584 2596 2596 2584 5506 1345 4291 60 4291 60 1345 0 0 0"，"channelDim":"1 27906 3362 19810 33 97 11586 65 0 0 0 0 0 0 0 0"，"direction":"17 33 35 39 19 23 37 21 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 09:31:31
奥体中路（天辰路-解放东路）,奥体中路-天泺路,2026-04-01 10:01:30,754741,10,13NL70B62U0,150,3,90,{"Cycle2":"3 2_6_"，"Cycle3":"9 10_11_"，"Cycle1":"1 4_5_"},[{"minGTime":"14 14 14 7 14 14 14 14 14 14 14 0 0 0 0 0"，"maxGTime":"60 60 60 60 60 60 60 60 60 60 60 0 0 0 0 0"，"greenTime":"82 23 82 23 36 36 0 0 76 32 36 0 0 0 0 0"，"yellowTime":"3 3 3 3 3 3 0 0 0 3 3 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"774 777 777 774 1120 1168 1168 1120 15 15 240 0 0 0 0 0"，"channelDim":"2 1 66 65 3362 19810 33 97 11629 0 0 0 0 0 0 0"，"direction":"33 17 37 21 35 39 19 23 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"256 256 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"109 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 10:01:30
舜华南路（华云路-华汉路）,舜华南路-华云路,2026-04-01 11:01:30,1375,6,13NU80B5QQ0,50,1,25,{"Cycle1":"1 2"},[{"minGTime":"24 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"maxGTime":"24 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"greenTime":"24 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"yellowTime":"3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"channelDim":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"1_5，1_6，3_20，5_5，5_6，7_20 1_20，3_1，3_6，5_20，7_1，7_6 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:01:30
经十路（洪山路-舜华路）,经十路-草山岭中路(舜义路),2026-04-01 11:01:30,888369,25,13NQG0B5VO0,200,3,70,{"Cycle2":"5 6_7_"，"Cycle3":"13 15 14_10 12_"，"Cycle1":"1 2_3_"},[{"minGTime":"7 7 7 4 7 7 7 4 14 14 4 3 14 4 14 0"，"maxGTime":"60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 0"，"greenTime":"37 93 49 0 97 38 49 0 0 24 0 26 37 43 57 0"，"yellowTime":"3 3 3 0 3 3 3 0 0 3 0 0 3 0 3 0"，"redTime":"5 2 5 0 0 2 5 0 0 0 0 4 0 0 0 0"，"concurrent":"30000 30000 2752 2752 29955 29955 2572 2572 51 204 51 204 51 51 51 0"，"channelDim":"33 19810 11586 0 3362 97 27906 0 0 0 0 0 0 0 0 0"，"direction":"19 39 37 0 35 23 33 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:01:31
龙鼎大道（龙奥南路-龙腾路）,龙鼎大道-龙兴路,2026-04-01 11:21:30,577753,19,13NM30B5QR0,120,3,64,{"Cycle2":"6_3_"，"Cycle3":"9_11_"，"Cycle1":"5_4_"},[{"minGTime":"14 5 14 5 14 14 14 14 14 14 14 14 14 0 0 0"，"maxGTime":"60 60 60 60 60 60 60 60 60 60 60 60 60 0 0 0"，"greenTime":"0 0 81 81 31 31 0 0 31 0 81 0 0 0 0 0"，"yellowTime":"0 0 4 4 4 4 0 0 4 0 4 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"7686 7689 7689 7686 416 336 416 336 240 15 15 15 15 0 0 0"，"channelDim":"1 0 27906 11586 77 3367 0 0 0 0 0 0 0 0 0 0"，"direction":"17 0 33 37 0 83 0 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:21:30
旅游路（汉峪西路-凤凰路）,旅游路东段-汉峪西路,2026-04-01 11:31:30,465002,4,13NSU0B5RM0,140,2,74,{"Cycle2":"5_7_"，"Cycle1":"1_3_"},[{"minGTime":"25 3 25 0 25 0 25 0 0 0 0 0 0 0 0 0"，"maxGTime":"40 60 35 0 40 0 35 0 0 0 0 0 0 0 0 0"，"greenTime":"92 0 42 0 92 0 42 0 0 0 0 0 0 0 0 0"，"yellowTime":"3 0 3 0 3 0 3 0 0 0 0 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"16 16 64 0 3 0 4 0 0 0 0 0 0 0 0 0"，"channelDim":"4410722 67 4402502 0 3362 0 27906 0 0 0 0 0 0 0 0 0"，"direction":"17703 69 17717 0 35 0 33 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:31:30
奥体中路（天辰路-解放东路）,奥体中路-天泺路,2026-04-01 11:31:30,754741,13,13NL70B62U0,150,3,90,{"Cycle2":"3 2_6_"，"Cycle3":"9 10_11_"，"Cycle1":"1 4_5_"},[{"minGTime":"14 14 14 7 14 14 14 14 14 14 14 0 0 0 0 0"，"maxGTime":"60 60 60 60 60 60 60 60 60 60 60 0 0 0 0 0"，"greenTime":"77 28 77 28 36 36 0 0 75 33 36 0 0 0 0 0"，"yellowTime":"3 3 3 3 3 3 0 0 0 3 3 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"774 777 777 774 1120 1168 1168 1120 15 15 240 0 0 0 0 0"，"channelDim":"2 1 66 65 3362 19810 33 97 11629 0 0 0 0 0 0 0"，"direction":"33 17 37 21 35 39 19 23 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"256 256 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"109 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:31:30
舜耕路（经十一路-千佛山南路）,舜耕路-马鞍山路,2026-04-01 11:31:30,840006,22,13MO70B5QM0,140,3,64,{"Cycle2":"5_7_"，"Cycle3":"11_14_"，"Cycle1":"1 2_3_"},[{"minGTime":"20 1 14 7 20 7 14 6 7 7 14 7 7 14 14 0"，"maxGTime":"40 60 35 60 40 60 35 60 60 60 60 60 60 60 60 0"，"greenTime":"80 1 45 0 81 0 45 0 0 0 84 0 0 50 0 0"，"yellowTime":"3 0 3 0 3 0 3 0 0 0 3 0 0 3 0 0"，"redTime":"3 0 5 0 3 0 5 0 0 0 0 0 0 0 0 0"，"concurrent":"7856 7856 24640 7856 7947 7947 24580 7947 7856 443 443 443 443 68 68 0"，"channelDim":"11586 0 19817 0 27912 0 3369 0 0 0 0 0 0 0 0 0"，"direction":"37 0 119 0 97 0 115 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:31:30
旅游路（汉峪西路-凤凰路）,旅游路东段-凤凰路,2026-04-01 11:31:30,993407,19,13O1V0B5SB0,140,2,114,{"Cycle2":"2 4_5 7_"，"Cycle1":"1 3_6 8_"},[{"minGTime":"20 35 35 20 28 28 15 15 0 0 0 0 0 0 0 0"，"maxGTime":"60 60 60 60 60 60 60 60 0 0 0 0 0 0 0 0"，"greenTime":"25 49 49 25 34 34 20 20 0 0 0 0 0 0 0 0"，"yellowTime":"3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"10 5 10 5 160 80 160 80 0 0 0 0 0 0 0 0"，"channelDim":"33 3362 19810 97 27906 11586 65 1 0 0 0 0 0 0 0 0"，"direction":"19 35 39 23 33 37 21 17 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 11:31:31
旅游路（汉峪西路-凤凰路）,旅游路东段-汉峪西路,2026-04-01 13:31:30,465002,7,13NSU0B5RM0,140,2,74,{"Cycle2":"5_7_"，"Cycle1":"1_3_"},[{"minGTime":"25 3 25 0 25 0 25 0 0 0 0 0 0 0 0 0"，"maxGTime":"40 60 35 0 40 0 35 0 0 0 0 0 0 0 0 0"，"greenTime":"92 0 42 0 92 0 42 0 0 0 0 0 0 0 0 0"，"yellowTime":"3 0 3 0 3 0 3 0 0 0 0 0 0 0 0 0"，"redTime":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"concurrent":"16 16 64 0 3 0 4 0 0 0 0 0 0 0 0 0"，"channelDim":"4410722 67 4402502 0 3362 0 27906 0 0 0 0 0 0 0 0 0"，"direction":"17703 69 17717 0 35 0 33 0 0 0 0 0 0 0 0 0"}],[{"modifierPhases":"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"includedPhases":"7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"，"direction":"67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"}],2026-04-01 13:31:30
